Unnamed: 0,brand,model_name,screen_size,ram,rom,cams,sim_type,battary,current_price,previous_price,sale_percentage,product_rating,seller_name,seller_score,seller_followers,Reviews
63,Infinix,Smart 7 Plus ,6.6,3.0,64.0,13MP + 5MP,Dual,6000.0,57.0,1020.0,17%,4.2,Tech Traders,86%,722,"[ (5 out of 5) its perfect for its secs ], [ (5 out of 5) infinix smart 7 ], [ (5 out of 5) working perfectly ], [ (5 out of 5) Superb ], [ (4 out of 5) nice one ], [ (1 out of 5) OVERHEATING  ], [ (5 out of 5) I like it ], [ (4 out of 5) perfect  ], [ (5 out of 5) amazing ], [ (4 out of 5) Review ]"
64,,,,,,,,,,,,,,,,
65,Samsung,Galaxy A04 ,6.5,4.0,64.0,50MP + 2MP + 2MP + 5MP,Dual,5000.0,76.0,1360.0,16%,4.4,Samsung Ecco World -,100%,177,"[ (5 out of 5) I like it ], [ (5 out of 5) Love it ], [ (5 out of 5) Delivery & packaging ], [ (5 out of 5) I just love this phone ], [ (5 out of 5) lovely battery life ], [ (5 out of 5) I like it ], [ (5 out of 5) I love it ], [ (5 out of 5) Best smartphone ], [ (5 out of 5) samsung Ao4 ], [ (5 out of 5) Samsung A04 ]"
66,,,,,,,,,,,,,,,,
67,Samsung,Galaxy A14 ,6.6,4.0,64.0,50MP + 5MP + 2MP + 2MP + 13MP,Dual,5000.0,89.0,2448.0,45%,2.8,Minestar,86%,1002,[ (3 out of 5) I liked the phone ]
68,Samsung,Galaxy A14 4G ,6.6,4.0,64.0,50MP + 2MP + 2MP + 13MP,Dual,5000.0,90.0,2040.0,33%,4.7,Samsung Ecco World -,100%,177,"[ (5 out of 5) Galaxy A14 ], [ (4 out of 5) I like it ], [ (5 out of 5) Device performance ], [ (4 out of 5) i like it ], [ (5 out of 5) Good camera ], [ (5 out of 5) i like it ], [ (5 out of 5) I love it ]"
69,Infinix,Hot 30 Play ,6.82,8.0,128.0,16MP + 8MP,Dual,6000.0,81.0,1564.0,22%,4.4,Tech Traders,86%,722,"[ (5 out of 5) meets my expectations ], [ (5 out of 5) I like it ], [ (5 out of 5) I LIKE IT ], [ (3 out of 5) I like it ], [ (5 out of 5) i like it ], [ (5 out of 5) Fabulous???????? ], [ (5 out of 5) I LIKE IT ], [ (5 out of 5) great ], [ (3 out of 5) I have mixed feelings. ], [ (5 out of 5) I love it ]"
70,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,
72,XIAOMI,Redmi Note 12S ,6.67,8.0,256.0,108MP + 8MP + 2MP + 16MP,Dual,0.0,145.0,2652.0,18%,5.0,XIAOMI KE,100%,9268,[ (5 out of 5) I like it ]
73,XIAOMI,Redmi 12c ,6.71,6.0,128.0,50MP + 0.08MP + 5MP,Dual,5000.0,88.0,1700.0,22%,5.0,Xiaomi Ecco World - AC,80%,36,[ (5 out of 5) LOVE IT ]
74,,,,,,,,,,,,,,,,
75,Tecno,Spark 10 ,6.6,8.0,128.0,50MP + 8MP + 50MP,Dual,5000.0,90.0,1768.0,23%,4.5,Minestar,86%,1002,"[ (5 out of 5) nice ], [ (5 out of 5) I like it. Thank you!! ], [ (5 out of 5) wonderful  ]"
76,Nokia,C12 ,6.3,2.0,64.0,8MP + 5MP,Dual,3000.0,52.0,1088.0,28%,4.4,Samsung Ecco World -,100%,177,"[ (4 out of 5) Good value ], [ (5 out of 5) It's modest phone ], [ (5 out of 5) Specs ]"
77,,,,,,,,,,,,,,,,
78,Infinix,Smart 7 HD ,6.6,2.0,64.0,8MP + 5MP,Dual,5000.0,50.0,1020.0,27%,5.0,Tech Traders,86%,722,[ (5 out of 5) I like it ]
79,Tecno,Pop 7 ,6.6,2.0,64.0,5MP + 8MP,Dual,5000.0,55.0,1020.0,19%,4.2,Premium Phones-,100%,407,"[ (5 out of 5) I like it ], [ (5 out of 5) Great  ], [ (5 out of 5) I like it ], [ (5 out of 5) camera and space  ], [ (3 out of 5) Somewhat what I expected ], [ (5 out of 5) speed ], [ (5 out of 5) excellent ], [ (2 out of 5) exactly ], [ (5 out of 5) I love it ]"
80,,,,,,,,,,,,,,,,
81,Samsung,Galaxy A03 Core ,6.5,2.0,32.0,8MP + 5MP,Dual,5000.0,56.0,1428.0,41%,4.8,Minestar,86%,1002,"[ (5 out of 5) I like the phone ], [ (5 out of 5) great phone so far ], [ (5 out of 5) I love it ]"
82,,,,,,,,,,,,,,,,
83,Infinix,SMART 7 PLUS Type C ,6.6,9.0,64.0,13MP,Dual,6000.0,60.0,904.0,1%,4.0,Tycoon enterprises,94%,305,No reviews
84,,,,,,,,,,,,,,,,
85,XIAOMI,Redmi A2 Plus ,6.52,3.0,64.0,,Dual,5000.0,63.0,1292.0,26%,0.0,Minestar,86%,1002,No reviews
86,Tecno,Spark 10C ,6.6,8.0,128.0,16MP + 8MP,Dual,5000.0,77.0,2040.0,43%,5.0,Minestar,86%,1002,No reviews
87,Samsung,Galaxy A03 Core ,6.5,,,8MP + 5MP,Dual,5000.0,52.0,1020.0,24%,5.0,Samsung Ecco World -,100%,177,"[ (5 out of 5) Good Quality. ], [ (5 out of 5) I like it ]"
88,Samsung,Galaxy A04 ,6.5,4.0,64.0,50MP + 2MP + 2MP + 5MP,Dual,5000.0,72.0,1700.0,36%,4.2,CELLINY COLLECTIONS,74%,967,No reviews
89,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,
93,Oppo,A58 ,6.72,6.0,128.0,50MP + 2MP + 8MP,Dual,5000.0,118.0,2720.0,35%,4.5,Minestar,86%,1002,No reviews
94,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,
97,Samsung,Galaxy A14 ,6.6,4.0,64.0,50MP + 5MP + 2MP + 2MP + 13MP,Dual,5000.0,87.0,2448.0,46%,4.7,Minestar,86%,1002,No reviews
98,XIAOMI,Redmi 12 ,6.79,8.0,256.0,50MP + 8MP + 2MP + 8MP,Dual,5000.0,118.0,2108.0,16%,0.0,XIAOMI KE,100%,9268,No reviews
